name,institution,course_url,course_id,Rating Promedio,Cantidad Votos
Machine Learning,Stanford University,https://www.coursera.org/learn/machine-learning,machine-learning,4.74,12677
Indigenous Canada,University of Alberta,https://www.coursera.org/learn/indigenous-canada,indigenous-canada,4.82,1460
The Science of Well-Being,Yale University,https://www.coursera.org/learn/the-science-of-well-being,the-science-of-well-being,4.93,8199
Technical Support Fundamentals,Google,https://www.coursera.org/learn/technical-support-fundamentals,technical-support-fundamentals,4.77,12055
Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,https://www.coursera.org/learn/google-cbrs-cpi-training,google-cbrs-cpi-training,4.82,33
Financial Markets,Yale University,https://www.coursera.org/learn/financial-markets-global,financial-markets-global,4.81,3108
Introduction to Psychology Yale,Yale University,https://www.coursera.org/learn/introduction-psychology,introduction-psychology,4.85,3015
Programming for Everybody (Getting Started with Python),University of Michigan,https://www.coursera.org/learn/python,python,4.58,15226
The Bits and Bytes of Computer Networking,Google,https://www.coursera.org/learn/computer-networking,computer-networking,4.63,4813
AI For Everyone,DeepLearning.AI,https://www.coursera.org/learn/ai-for-everyone,ai-for-everyone,4.85,7386
Crash Course on Python,Google,https://www.coursera.org/learn/python-crash-course,python-crash-course,4.73,3231
Psychological First Aid,Johns Hopkins University,https://www.coursera.org/learn/psychological-first-aid,psychological-first-aid,4.84,2926
Neural Networks and Deep Learning,DeepLearning.AI,https://www.coursera.org/learn/neural-networks-deep-learning,neural-networks-deep-learning,4.77,12292
What is Data Science?,IBM,https://www.coursera.org/learn/what-is-datascience,what-is-datascience,4.62,7397
Successful Negotiation: Essential Strategies and Skills,University of Michigan,https://www.coursera.org/learn/negotiation-skills,negotiation-skills,4.81,2869
Fundamentals of Project Planning and Management,University of Virginia,https://www.coursera.org/learn/uva-darden-project-management,uva-darden-project-management,4.76,1132
Project Launch,"University of California, Irvine",https://www.coursera.org/learn/project-management,project-management,4.36,36
"Brand Management: Aligning Business, Brand and Behaviour",London Business School,https://www.coursera.org/learn/brand,brand,4.9,1091
Writing in the Sciences,Stanford University,https://www.coursera.org/learn/sciwrite,sciwrite,4.92,1286
Stanford Introduction to Food and Health,Stanford University,https://www.coursera.org/learn/food-and-health,food-and-health,4.69,4965
"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,https://www.coursera.org/learn/html-css-javascript-for-web-developers,html-css-javascript-for-web-developers,4.76,3186
Excel Skills for Business: Essentials,Macquarie University,https://www.coursera.org/learn/excel-essentials,excel-essentials,4.89,7377
